ORG_CODE_ID,ORG_NAME,TRANSFER_EVENT_ID,TRANSFER_EVENT_TYPE,TRANSFER_COURSE_NAME,MMU_EVENT_ID,MMU_EVENT_TYPE,MMU_COURSE_NAME
"O000000024","Adams State College","CRJ 411","Lecture","Ethics/CJ Syst","CJ 299","Lecture","Criminal Justice Info, Comm, Ethics"
"O000000024","Adams State College","ENG 102","Lecture","Comm Arts II","EN 008","Lecture","Writing Competency"
"O000000024","Adams State College","ENG 365","Lecture","Ethnic & Minority Literature","EN 002","Lecture","Literature Domain"
"O000000024","Adams State College","BUS 345","Lecture","Generic Course","OT 001","Lecture","Generic Course"
"O000000024","Adams State College","CRJ 301","Lecture","Correctnl Inst Org","CJ 390","Lecture","Special Topics in Criminal Justice"
"O000000024","Adams State College","CRJ 309","Lecture","Women, Crime and Law","CJ 422","Lecture","Women And Crime"
"O000038313","Advanced Placement Program","English LANG/Comp","Lecture","Composition II","EN 008","Lecture","Writing Competency"
"O000038313","Advanced Placement Program","Econ-Mic","Lecture","Microeconomic Principles","EC 252","Lecture","Microeconomic Principles"
"O000038313","Advanced Placement Program","English LIT/Comp","Lecture","Literature-Gen Ed","EN 002","Lecture","Literature Domain"
"O000038313","Advanced Placement Program","Eur Hist or Wrld His","Lecture","W Wrld Snc 1648","HI 140","Lecture","Hist Of Western World Since 1648"
"O000038313","Advanced Placement Program","Environmental Scienc","Lecture","Earth Science","PH 115","Lecture","Introduction To Earth Science"
"O000038313","Advanced Placement Program","Econ-MAC","Lecture","Macroeconomics Principles","EC 251","Lecture","Macroeconomics Principles"
"O000038313","Advanced Placement Program","Calc AB","Lecture","Calculus I","MA 164","Lecture","Calculus I"
"O000038313","Advanced Placement Program","Biology","Lecture","Prin of Biology","OT","Lecture","Generic Course"
"O000038313","Advanced Placement Program","Calculus BC","Lecture","Calculus II","MA 165","Lecture","Calculus II"
"O000038313","Advanced Placement Program","Computer Science","Lecture","Intro Comptr Science","OT","Lecture","Generic Course"
"O000038313","Advanced Placement Program","Chemistry","Lecture","Chemistry Gen Ed","OT","Lecture","Generic Course"
"O000038313","Advanced Placement Program","French or German Lan","Lecture","Generic Course","OT 001","Lecture","Generic Course"
"O000038313","Advanced Placement Program","Spanish Language","Lecture","Generic Course","OT 002","Lecture","Generic Course"
"O000038313","Advanced Placement Program","Psychology","Lecture","Int Psychology","PS 101","Lecture","Introductory Psychology"
"O000038313","Advanced Placement Program","Statistics","Lecture","Basic Statistics","MA 135","Lecture","Basic Statistics"
"O000038313","Advanced Placement Program","US History","Lecture","History Of Modern America","HI 115","Lecture","History Of Modern America"
"O000038313","Advanced Placement Program","U S History","Lecture","History Of Modern America","HI 115","Lecture","History Of Modern America"
"O000038313","Advanced Placement Program","Psych","Lecture","Introductory Psychology","PS 101","Lecture","Introductory Psychology"
"O000038313","Advanced Placement Program","Govt&Pol US","Lecture","Int American Politcs","PO 111","Lecture","Introduction To American Politics"
"O000038313","Advanced Placement Program","Govt&Pol Comp","Lecture","Comparative Politics","PO 102","Lecture","Intorduction to Comparative Politics"
"O000038313","Advanced Placement Program","Music Theory","Lecture","Music Theory","MU 101","Lecture","Music Theory I"
"O000038313","Advanced Placement Program","Physics B","Lecture","Collge Physics I","OT","Lecture","Generic Course"
"O000038313","Advanced Placement Program","Physics","Lecture","Physics Gen Educ","PH 008","Lecture","Natural World Domain"
"O000000038","Aib College Of Business","SE232","Lecture","Generic Course","OT 001","Lecture","Generic Course"
"O000000038","Aib College Of Business","SS 120","Lecture","Sociology","SO 122","Lecture","Introduction To Sociology"
"O000000038","Aib College Of Business","SS 130","Lecture","Political Science","PO 111","Lecture","Introduction To American Politics"
"O000000038","Aib College Of Business","MA110","Lecture","College Math","MA 008","Lecture","Math Compentency"
"O000000038","Aib College Of Business","ML100","Lecture","Generic Course","OT 001","Lecture","Generic Course"
"O000000038","Aib College Of Business","ML102","Lecture","Generic Course","OT 001","Lecture","Generic Course"
"O000000038","Aib College Of Business","SS 140","Lecture","Microeconomics","EC 252","Lecture","Microeconomic Principles"
"O000000038","Aib College Of Business","SS130","Lecture","Political Science","PO 111","Lecture","Introduction To American Politics"
"O000000038","Aib College Of Business","SS140","Lecture","Microeconomics","EC 252","Lecture","Microeconomic Principles"
"O000000038","Aib College Of Business","TY200","Lecture","Generic Course","OT 001","Lecture","Generic Course"
"O000000038","Aib College Of Business","SS 310","Lecture","Social Psychology","PS 221","Lecture","Social Psychology"
"O000000038","Aib College Of Business","SS110","Lecture","Int Psychology","PS 101","Lecture","Introductory Psychology"
